,fra,jour,pop,P,T,Ti,Tp,Td,cl_age90
309,FR,2021-03-18,"67114992,00","31208,00","483710,00","46,50","6,45","720,72",0
310,FR,2021-03-19,"67114992,00","33211,00","545585,00","49,48","6,09","812,91",0
311,FR,2021-03-20,"67114992,00","20736,00","283120,00","30,90","7,32","421,84",0
312,FR,2021-03-21,"67114992,00","5011,00","59797,00","7,47","8,38","89,10",0
313,FR,2021-03-22,"67114992,00","46960,00","581870,00","69,97","8,07","866,97",0
314,FR,2021-03-23,"67114992,00","38102,00","535945,00","56,77","7,11","798,55",0
315,FR,2021-03-24,"67114992,00","37147,00","483579,00","55,35","7,68","720,52",0
316,FR,2021-03-25,"67114992,00","38239,00","571179,00","56,98","6,69","851,05",0
317,FR,2021-03-26,"67114992,00","39973,00","635495,00","59,56","6,29","946,87",0
318,FR,2021-03-27,"67114992,00","25164,00","347661,00","37,49","7,24","518,01",0
319,FR,2021-03-28,"67114992,00","5130,00","63418,00","7,64","8,09","94,49",0
320,FR,2021-03-29,"67114992,00","53147,00","687918,00","79,19","7,73","1024,98",0
321,FR,2021-03-30,"67114992,00","43578,00","656730,00","64,93","6,64","978,51",0
322,FR,2021-03-31,"67114992,00","39653,00","570865,00","59,08","6,95","850,58",0
323,FR,2021-04-01,"67114992,00","39522,00","660705,00","58,89","5,98","984,44",0
324,FR,2021-04-02,"67114992,00","38714,00","671048,00","57,68","5,77","999,85",0
325,FR,2021-04-03,"67114992,00","24341,00","406885,00","36,27","5,98","606,25",0
326,FR,2021-04-04,"67114992,00","4932,00","66172,00","7,35","7,45","98,59",0
327,FR,2021-04-05,"67114992,00","8620,00","103118,00","12,84","8,36","153,64",0
