date,hosp,incid_hosp,rea,incid_rea,rad,incid_rad,pos,pos_7j,tx_pos,tx_incid,TO,pop,P,T,Ti,Tp,Td,incid_dchosp
2020-08-01,5177.0,77.0,344.0,11.0,82016.0,149.0,794.0,8531.0,1.45,12.71,0.0680110715697904,67114992.0,794.0,47672.0,1.18,1.67,71.03,6.0
2020-08-02,5188.0,25.0,345.0,3.0,82029.0,13.0,250.0,8517.0,1.45,12.69,0.068208778173191,67114992.0,250.0,16527.0,0.37,1.51,24.62,1.0
2020-08-03,5157.0,142.0,360.0,29.0,82155.0,142.0,2026.0,9114.0,1.52,13.58,0.0711743772241993,67114992.0,2026.0,113448.0,3.02,1.79,169.04,22.0
2020-08-04,5121.0,139.0,364.0,21.0,82307.0,156.0,2015.0,9761.0,1.63,14.54,0.0719652036378015,67114992.0,2015.0,106732.0,3.0,1.89,159.03,11.0
2020-08-05,5107.0,137.0,360.0,15.0,82449.0,144.0,1966.0,10248.0,1.71,15.27,0.0711743772241993,67114992.0,1966.0,106583.0,2.93,1.84,158.81,9.0
2020-08-06,5019.0,141.0,366.0,21.0,82659.0,211.0,2165.0,10858.0,1.8,16.18,0.0723606168446026,67114992.0,2165.0,109853.0,3.23,1.97,163.68,7.0
2020-08-07,4970.0,136.0,359.0,20.0,82825.0,168.0,2310.0,11526.0,1.9,17.17,0.0709766706207987,67114992.0,2310.0,112146.0,3.44,2.06,167.1,12.0
2020-08-08,4981.0,73.0,366.0,12.0,82881.0,59.0,1009.0,11741.0,1.93,17.49,0.0723606168446026,67114992.0,1009.0,49809.0,1.5,2.03,74.21,2.0
2020-08-09,4992.0,14.0,368.0,4.0,82886.0,5.0,444.0,11935.0,1.96,17.78,0.0727560300514037,67114992.0,444.0,17140.0,0.66,2.59,25.54,0.0
2020-08-10,5004.0,180.0,372.0,28.0,83036.0,151.0,2858.0,12767.0,2.09,19.02,0.0735468564650059,67114992.0,2858.0,116916.0,4.26,2.44,174.2,14.0
2020-08-11,4971.0,191.0,367.0,21.0,83226.0,194.0,2698.0,13450.0,2.2,20.04,0.0725583234480032,67114992.0,2698.0,106644.0,4.02,2.53,158.9,15.0
